grace_sku,body_id,neck_finish,shape
GBCylFrst9SpryShSl,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9SpryTur,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9MtlRollBlkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollMattCu,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollMattGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollMattSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollPnkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollShBlk,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollShnGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollShnSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollSlDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9MtlRollWht,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollBlkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollMattCu,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollMattGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollMattSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollPnkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollShBlk,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollShnGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollShnSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollSlDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylFrst9RollWht,CylSwrl-round-17-415-74x21,17-415,round
LBCylSwrl9LtnBlk,CylSwrl-round-17-415-74x21,17-415,round
LBCylSwrl9LtnGl,CylSwrl-round-17-415-74x21,17-415,round
LBCylSwrl9LtnMtSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollBlkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollMattCu,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollMattGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollMattSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollPnkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollShBlk,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollShnGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollShnSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollSlDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9MtlRollWht,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollBlkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollMattCu,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollMattGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollMattSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollPnkDot,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollShBlk,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollShnGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollShnSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9RollSlDot,CylSwrl-round-17-415-74x21,17-415,round
