grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
VBagGreen4x5,,0.0,,,,,,https_www_bestbottles_com_product_Small_velveteen_Green_bag_pouch_4x5.html
VBagRed4x5,,0.0,,,,,,https_www_bestbottles_com_product_Small_velveteen_Red_gift_bag_pouch_4x5.html
GBSpry1ozGl,18-415,30.0,,,,,,https_www_bestbottles_com_product_Tube_Glass_Bottle_Sprayer_atomizer_Gold_1oz.html
GBSpry1ozSl,18-415,30.0,,,,,,https_www_bestbottles_com_product_Tube_Glass_Bottle_Sprayer_atomizer_Matte_Silver_1oz.html
VBagBlack4x3,,0.0,,,,,,https_www_bestbottles_com_product_Velveteen_gift_bag_Red_4x3.html
VBagBlue4x3,,0.0,,,,,,https_www_bestbottles_com_product_Velveteen_gift_bag_pouch_Blue_4x3.html
VBagGreen4x3,,0.0,,,,,,https_www_bestbottles_com_product_Velveteen_gift_bag_pouch_Green_4x3.html
VBagRed4x3,,0.0,,,,,,https_www_bestbottles_com_product_Velveteen_gift_bag_pouch_Red_4x3.html
GBVAmb1DrmBlkDropper,13-425,4.0,45.0,63.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_amber_glass_black_dropper.html
GBVAmb1DrmBlackCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_amber_glass_black_short_cap.html
GBVAmb1DrmWhtCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_amber_glass_white_short_cap.html
GBVBlu1DrmBlkDropper,13-425,4.0,45.0,63.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_blue_glass_black_dropper.html
GBVBlu1DrmBlackCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_blue_glass_black_short_cap.html
GBVBlu1DrmWhtCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_blue_glass_white_short_cap.html
GBV1DrmBlkDropper,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_clear_glass_black_dropper.html
GBVial1DrmBlackCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_clear_glass_black_short_cap.html
GBVial1DrmWhtCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_clear_glass_white_short_cap.html
GBVGr1DrmBlkDropper,13-425,4.0,45.0,63.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_green_glass_black_dropper.html
GBVGr1DrmBlackCapSht,13-425,4.0,45.0,47.0,15.0,,,https_www_bestbottles_com_product_Vial_design_1_dram_green_glass_black_short_cap.html
